variable,q10_estimate,q10_std.error,q10_ci.low,q10_ci.upp,q10_p.value,q25_estimate,q25_std.error,q25_ci.low,q25_ci.upp,q25_p.value,q50_estimate,q50_std.error,q50_ci.low,q50_ci.upp,q50_p.value,q75_estimate,q75_std.error,q75_ci.low,q75_ci.upp,q75_p.value,q90_estimate,q90_std.error,q90_ci.low,q90_ci.upp,q90_p.value,model
regionКрасноярск,0.141,0.584,-1.033,1.314,0.81,-0.049,0.606,-1.268,1.169,0.936,-0.119,0.734,-1.595,1.356,0.872,-0.048,0.522,-1.096,1.001,0.928,-0.145,0.615,-1.381,1.091,0.815,Tertiary
"regionТверская область, Ржев и Ржевский район",-0.113,0.278,-0.671,0.446,0.687,-0.483,0.352,-1.189,0.224,0.176,-0.558,0.345,-1.252,0.135,0.112,-0.267,0.286,-0.842,0.308,0.356,-0.483,0.266,-1.018,0.053,0.076,Tertiary
regionСаратов,-0.612,1.162,-2.947,1.722,0.601,-0.588,0.522,-1.637,0.461,0.266,-0.437,0.749,-1.942,1.069,0.563,-0.303,0.514,-1.335,0.729,0.558,-0.159,0.61,-1.385,1.067,0.795,Tertiary
regionТомск,0.169,0.609,-1.054,1.393,0.782,-0.12,0.498,-1.12,0.88,0.81,-0.13,0.71,-1.556,1.296,0.855,0.045,0.52,-1,1.091,0.931,0.06,0.566,-1.078,1.198,0.916,Tertiary
regionЛипецк,-0.456,0.674,-1.81,0.898,0.501,-0.367,0.52,-1.411,0.677,0.483,-0.499,0.699,-1.904,0.906,0.479,-0.517,0.515,-1.552,0.518,0.32,-0.507,0.598,-1.709,0.695,0.401,Tertiary
"regionКрасноярский край, Назарово и Назаровский р",0.357,0.382,-0.411,1.124,0.355,0.003,0.373,-0.746,0.752,0.994,0.063,0.311,-0.563,0.688,0.841,0.16,0.28,-0.404,0.723,0.571,0.137,0.226,-0.318,0.592,0.547,Tertiary
regionРеспублика Кабардино-Балкария: Залукокоаже,0.071,0.29,-0.512,0.654,0.808,-0.299,0.286,-0.873,0.276,0.301,-0.373,0.175,-0.725,-0.022,0.038,-0.315,0.276,-0.869,0.24,0.26,-0.251,0.281,-0.815,0.312,0.375,Tertiary
"regionАлтайский край, Бийск и Бийский район",-0.128,0.343,-0.818,0.561,0.71,-0.462,0.468,-1.403,0.479,0.329,-0.151,0.359,-0.873,0.57,0.675,-0.174,0.322,-0.821,0.473,0.592,-0.406,0.335,-1.08,0.268,0.232,Tertiary
"regionКоми Республика, Усинск и Усинский район (1994",0.934,0.27,0.391,1.477,0.001,0.508,0.345,-0.185,1.202,0.147,0.496,0.294,-0.094,1.087,0.098,0.478,0.251,-0.026,0.982,0.063,0.455,0.406,-0.361,1.27,0.268,Tertiary
regionВладивосток,0.671,0.584,-0.503,1.844,0.256,0.262,0.589,-0.922,1.446,0.659,0.18,0.719,-1.265,1.625,0.803,0.257,0.517,-0.782,1.296,0.621,0.229,0.59,-0.957,1.414,0.7,Tertiary
"regionАмурская область, Тамбовский район",-0.142,0.251,-0.647,0.362,0.573,-0.429,0.368,-1.17,0.311,0.249,-0.156,0.273,-0.704,0.392,0.569,-0.035,0.237,-0.51,0.441,0.884,-0.008,0.246,-0.502,0.486,0.974,Tertiary
"regionСаратовская область, Вольск и Вольский райо",-0.798,0.926,-2.658,1.062,0.393,-0.567,0.913,-2.403,1.268,0.537,-0.377,0.528,-1.438,0.683,0.478,-0.062,0.315,-0.695,0.571,0.845,-0.181,0.313,-0.809,0.448,0.566,Tertiary
"regionКоми Республика, Сыктывкар",0.506,0.576,-0.651,1.663,0.384,0.33,0.505,-0.685,1.345,0.517,0.194,0.722,-1.257,1.644,0.79,0.132,0.5,-0.873,1.138,0.792,0.082,0.574,-1.072,1.235,0.887,Tertiary
regionЧелябинск,-0.159,1.305,-2.781,2.463,0.903,-0.306,0.521,-1.352,0.741,0.56,-0.215,0.753,-1.728,1.298,0.777,-0.057,0.547,-1.155,1.042,0.918,-0.245,0.593,-1.437,0.946,0.681,Tertiary
"regionЧелябинская область, Красноармейский район",-2.833,2.018,-6.889,1.223,0.167,-0.161,2.267,-4.717,4.395,0.944,-0.161,0.218,-0.599,0.277,0.465,0.162,0.988,-1.824,2.148,0.87,0.051,0.237,-0.425,0.527,0.831,Tertiary
regionНижний Новгород,0.078,0.53,-0.988,1.144,0.884,0.066,0.564,-1.068,1.199,0.908,-0.081,0.715,-1.517,1.356,0.911,0.018,0.519,-1.026,1.061,0.973,-0.006,0.58,-1.172,1.161,0.992,Tertiary
"regionПензенская область, Земетчинский район",0.154,0.407,-0.663,0.971,0.707,-0.095,0.278,-0.654,0.464,0.734,-0.192,0.228,-0.651,0.266,0.403,-0.114,0.189,-0.494,0.267,0.551,-0.387,0.221,-0.83,0.056,0.086,Tertiary
"regionКраснодарский край, Кущевский район",0.228,0.285,-0.346,0.801,0.428,-0.249,0.24,-0.732,0.234,0.306,-0.271,0.216,-0.705,0.163,0.215,0.087,0.235,-0.386,0.56,0.713,-0.088,0.205,-0.5,0.324,0.669,Tertiary
regionСмоленск,-0.218,0.556,-1.336,0.9,0.697,-0.499,0.614,-1.733,0.735,0.42,-0.095,0.722,-1.546,1.356,0.896,-0.204,0.527,-1.262,0.854,0.7,-0.191,0.638,-1.474,1.092,0.766,Tertiary
regionТула,0.294,0.563,-0.838,1.426,0.604,-0.025,0.52,-1.071,1.021,0.962,-0.076,0.73,-1.543,1.391,0.917,-0.043,0.549,-1.146,1.059,0.937,-0.07,0.601,-1.277,1.137,0.907,Tertiary
"regionРостовская область, Батайск",0.02,0.641,-1.269,1.308,0.976,-0.199,0.279,-0.759,0.361,0.478,-0.224,0.3,-0.827,0.379,0.459,-0.21,0.216,-0.644,0.225,0.338,-0.347,0.245,-0.84,0.146,0.163,Tertiary
regionМосква,0.474,0.615,-0.762,1.709,0.445,0.307,0.562,-0.823,1.437,0.588,0.394,0.679,-0.97,1.758,0.564,0.519,0.507,-0.499,1.537,0.311,0.603,0.594,-0.592,1.797,0.316,Tertiary
regionСанкт-Петербург,-4.053,2.094,-8.262,0.156,0.059,-0.385,2.299,-5.004,4.235,0.868,-0.162,0.781,-1.732,1.407,0.836,-0.033,0.535,-1.109,1.043,0.952,-0.125,0.611,-1.353,1.103,0.839,Tertiary
regionМосковская область,0.419,0.209,-0.001,0.839,0.05,0.214,0.205,-0.197,0.625,0.301,0.241,0.213,-0.187,0.668,0.264,0.43,0.182,0.064,0.797,0.022,0.332,0.225,-0.119,0.783,0.145,Tertiary
"regionНовосибирская область, Бердский район (с 2003",0.267,0.268,-0.271,0.805,0.323,-0.191,0.263,-0.72,0.338,0.471,-0.066,0.277,-0.621,0.49,0.813,-0.165,0.208,-0.582,0.252,0.43,-0.1,0.215,-0.531,0.332,0.645,Tertiary
O,0.05,0.052,-0.054,0.154,0.342,0.016,0.034,-0.053,0.084,0.65,0.031,0.031,-0.032,0.093,0.326,0.071,0.025,0.021,0.121,0.006,0.097,0.043,0.012,0.183,0.027,Tertiary
C,0.075,0.051,-0.029,0.178,0.154,0.083,0.031,0.019,0.146,0.012,0.02,0.024,-0.028,0.069,0.397,-0.01,0.03,-0.071,0.05,0.73,-0.026,0.029,-0.085,0.033,0.383,Tertiary
E,0.019,0.039,-0.06,0.098,0.627,0.01,0.031,-0.052,0.073,0.742,0.006,0.032,-0.058,0.07,0.857,0.016,0.02,-0.024,0.055,0.438,-0.004,0.026,-0.057,0.048,0.867,Tertiary
A,0.014,0.031,-0.048,0.076,0.65,0.021,0.03,-0.04,0.082,0.487,-0.007,0.022,-0.051,0.037,0.74,0.004,0.023,-0.043,0.05,0.87,0.001,0.028,-0.056,0.057,0.978,Tertiary
ES,-0.004,0.044,-0.092,0.085,0.935,-0.015,0.036,-0.087,0.057,0.67,-0.028,0.023,-0.074,0.018,0.233,-0.028,0.019,-0.068,0.011,0.151,0.016,0.034,-0.051,0.084,0.63,Tertiary
(Intercept),4.28,0.168,3.941,4.618,0,4.626,0.161,4.303,4.949,0,4.66,0.153,4.352,4.969,0,4.868,0.131,4.604,5.132,0,4.832,0.177,4.477,5.188,0,Secondary Vocational
exp_imp,0.062,0.031,0,0.124,0.05,0.038,0.027,-0.015,0.092,0.158,0.077,0.023,0.031,0.124,0.002,0.074,0.025,0.024,0.125,0.005,0.171,0.04,0.092,0.251,0,Secondary Vocational
I(exp_imp^2),-0.005,0.003,-0.012,0.001,0.116,-0.002,0.003,-0.007,0.003,0.474,-0.005,0.002,-0.01,0,0.054,-0.004,0.002,-0.009,0,0.054,-0.012,0.003,-0.019,-0.005,0.001,Secondary Vocational
