"var","var_label"
"m168_3","Скажите, пожалуйста, насколько Вы согласны или не согласны с тем, ч"
"m168_4","Скажите, пожалуйста, насколько Вы согласны или не согласны с тем, ч"
"m170","Скажите, пожалуйста, Вы счастливы?"
"m189","В течение последних 30 дней Вы употребляли безалкогольное пиво?"
"m190","В течение последних 30 дней Вы употребляли пиво, содержащее алкого"
"m412_1a","В течение последних 12 месяцев Вы посещали театр?"
"m412_1b","Сколько раз?"
"m412_2a","В течение последних 12 месяцев Вы посещали выставку?"
"m412_2b","Сколько раз?"
"m412_3a","В течение последних 12 месяцев Вы посещали концерт?"
"m412_3b","Сколько раз?"
"m412_4a","В течение последних 12 месяцев Вы посещали кинотеатр?"
"m412_4b","Сколько раз?"
"m413","По какой причине Вы не посещали ничего из перечисленного?"
"ff","Респондент опрошен по Женскому вопроснику"
"n1_1","Присутствуют ли на данный момент в комнате, кроме респондента, дет"
"n1_2","Присутствуют ли на данный момент в комнате, кроме респондента, дет"
"n1_3","Присутствуют ли на данный момент в комнате, кроме респондента, род"
"n1_4","Присутствует ли на данный момент в комнате, кроме респондента, муж"
"n1_5","Присутствуют ли на данный момент в комнате, кроме респондента, дру"
"n1_6","Присутствуют ли на данный момент в комнате, кроме респондента, дру"
"n2","У Вас были когда-либо менструации?"
"n3","Сколько Вам было лет, когда у Вас начались менструации?"
"n4","Вы были когда-либо беременны, даже если эта беременность длилась в"
"n5","Скажите, пожалуйста, Вы когда-либо рожали? Учитывайте только те ро"
"n5_0","Скажите, пожалуйста, Вы когда-либо рожали? Учитывайте и те случаи,"
"n6","Скажите, пожалуйста, Вы рожали в течение последних 12 месяцев?"
"n6_2y","Вы рожали в течение последних 24 месяцев?"
"n6_1","Сколько детей у Вас родилось в течение последних 12 месяцев?"
"n6_1_2y","Сколько детей у Вас родилось в течение последних 24 месяцев?"
"n7","Давайте поговорим о Ваших последних родах. Вы обращались к врачу п"
"n8","Когда Вы впервые обратились к врачу по поводу этой беременности? К"
"n9","Скажите, пожалуйста, куда Вы обращались?"
"n10","Кто в основном наблюдал за Вами и Вашим ребенком во время беременн"
"n11","Скажите, пожалуйста, где Вы рожали?"
"n12","У Вас были какие-то осложнения после последних родов?"
"n14","В каком календарном месяце у Вас родился ребенок?"
"n15","Скажите, пожалуйста, в настоящее время Вы кормите грудью этого реб"
"n16","Скажите, пожалуйста, Вы кормили грудью этого ребенка?"
"n17","Сколько всего месяцев Вы кормили ребенка грудью?"
"n17_1","Вы хотите иметь еще ребенка?"
"n17_2","Сколько еще детей Вы хотите иметь?"
"n17_3","Когда Вы думаете родить (следующего) ребенка, через сколько лет?"
"n17_4","Вы когда-нибудь рожали девочек?"
"n17_5","Сколько девочек у Вас родилось живыми?"
"n18","Если Вы когда-нибудь рожали девочек, то cколько всего дочерей, рожд"
"n18_1","Вы когда-нибудь рожали мальчиков?"
"n18_2","Сколько мальчиков у Вас родилось живыми?"
"n19","Если Вы когда-нибудь рожали мальчиков, то сколько сыновей рожденн"
"n20","Был ли случай, когда ребенок рождался живым, а затем умирал?"
"n21","Сколько умерло девочек?"
"n22","Сколько умерло мальчиков?"
"n23","Был ли у Вас случай, когда ребенок семимесячный или старше рождалс"
"n23_1","За последние 12 месяцев был у Вас случай, когда ребенок семимесячны"
"n24","Сколько всего детей семимесячных или старше родились мертвыми?"
"n25","Теперь давайте просуммируем, сколько всего у Вас было родов? Выкид"
"n25_1","Теперь давайте просуммируем, сколько всего детей у Вас родилось? П"
"n26","За последние 12 месяцев у Вас были выкидыши, когда ребенку было мен"
"n26_1","За последние 24 месяца у Вас были выкидыши?"
"n26_0","У Вас были выкидыши, когда ребенку было меньше семи месяцев?"
"n27","Сколько таких выкидышей у Вас было за последние 12 месяцев?"
"n27_0","Сколько таких выкидышей у Вас было?"
"n28","Скажите, пожалуйста, Вы делали когда-либо аборт?"
"n29","Сколько всего абортов у Вас было?"
"n30","Скажите, пожалуйста, Вы делали аборт в течение последних 12 месяцев"
"n30_2y","Вы делали аборт в течение последних 24 месяцев?"
"n31","Сколько абортов у Вас было в течение последних 12 месяцев?"
"n31_2y","Сколько абортов у Вас было в течение последних 24 месяцев?"
"n31_1","Когда мы говорили об абортах, Вы учитывали мини-аборты?"
"n31_2","Скажите, пожалуйста, в течение последних 12 месяцев Вы делали мини-"
"n312_2y","В течение последних 24 месяцев Вы делали мини-аборт?"
"n31_3","Сколько мини-абортов Вы делали в течение последних 12 месяцев?"
"n313_2y","Сколько мини-абортов Вы делали в течение последних 24 месяцев?"
"n31_4","Давайте поговорим о Вашем последнем аборте в течение последних 12"
"n314_2y","Давайте поговорим о Вашем последнем аборте в течение последних 24"
"n32","Куда Вы обращались, чтобы сделать этот аборт?"
"n33","Кто делал Вам этот аборт?"
"n34","Были ли у Вас какие-то осложнения после этого аборта?"
"n35","Вы платили за этот аборт?"
"n36","Сколько всего денег Вы заплатили за этот аборт?"
"n361_1a","Вы заплатили за этот (аборт/мини-аборт) официально в кассу медицин"
"n361_1b","Сколько Вы заплатили официально в кассу медицинского учреждения"
"n361_2a","Платили ли Вы непосредственно медицинскому работнику деньгами ил"
"n361_2b","Сколько Вы заплатили непосредственно медицинскому работнику ден"
"n37","В настоящее время у Вас бывают менструации?"
"n38","Вы предохранялись от беременности в течение последних 30 дней?"
"n39","Взгляните на список способов, которыми женщины предохраняются от"
"n40","Где вы узнали об этом способе?"
"n41","Использовали Вы какие-либо другие способы предохранения от берем"
"n42","Какой еще способ Вы использовали часто в последние 30 дней? Посмотр"
"n43","Скажите, пожалуйста, были за последние 30 дней случаи, когда Вы не п"
"n44","Взгляните, пожалуйста, на список причин, по которым женщины не пре"
"n45","Есть ли еще причины, по которым Вы не использовали никакого способ"
"n46","Взгляните, пожалуйста, еще раз на список причин, по которым женщин"
"n47","Вы хотите иметь (еще одного) ребенка?"
"n48","Сколько (еще) детей Вы хотите иметь?"
"j721717","Сколько всего детей (включая родившихся) Вы хотите иметь?"
"n49","Когда Вы думаете родить (следующего) ребенка, через сколько лет?"
"j721719","Повлияло ли принятие закона о материнском капитале на то, сколько"
"n50","По какой причине у Вас прекратились менструации?"
"n51","Вы обращались к врачу по поводу этой беременности?"
"n52","Когда Вы впервые обратились к врачу по поводу этой беременности? К"
"n53","Скажите, пожалуйста, куда Вы обращались?"
"n54","Кто в основном наблюдает за Вами и Вашим ребенком во время беремен"
"n55","Скажите, пожалуйста, Вы собираетесь родить или сделать аборт?"
"n56","Если не считать Вашу настоящую беременность, хотели бы Вы еще имет"
"n57","Сколько детей Вы хотели бы иметь еще?"
"n58","После окончания этой беременности, когда Вы думаете родить еще од"
"n59","В каком возрасте у Вас прекратились менструации?"
"n60","Вы сейчас беременны?"
"n61m","Когда Вы ожидаете ребенка? (месяц)"
"n61y","Когда Вы ожидаете ребенка? (год)"
"n62","Какой была Ваша среднемесячная заработная плата, если Вы работали"
"n63","После 1-го января 2007 года Вы лично усыновляли второго, третьего или"
"n64","На Ваше решение родить/усыновить (еще одного) ребенка именно сейча"
"n65","Когда Вы получите право распорядиться материнским капиталом, Вы н"
"n66_1","Вы оставите деньги материнского капитала в накопительной части т"
"n66_2","Вы через определенное время отзовете деньги материнского капитал"
"n66_3","Вы через определенное время отзовете деньги материнского капитал"
"n68","Вы оформили сертификат на получение материнского капитала?"
"n69","Почему Вы не оформили сертификат на получение материнского капит"
"n70","Скажите, пожалуйста, Вы рожали после 1 января 2007 года?"
"n71","Какого по счету ребенка Вы родили?"
"n72","Вы собираетесь рожать этого ребенка?"
"n73","Каким по счету ребенком Вы беременны?"
"n124","Вы уже воспользовались средствами материнского капитала?"
"n123","Вы имеете [ИНТЕРВЬЮЕР! ЕСЛИ ЖЕНЩИНА БЕРЕМЕННА, ДОБАВЬТЕ: или будет"
"n125_1","Как Вы распорядились средствами полученного материнского капита"
"n125_2","Как Вы распорядились средствами полученного материнского капита"
"n125_3","Как Вы распорядились средствами полученного материнского капита"
"n67","Как Вы думаете, через сколько лет после рождения ребенка Вы распор"
"n126_1","Как Вы распорядитесь средствами материнского капитала, когда пол"
"n126_2","Как Вы распорядитесь средствами материнского капитала, когда пол"
"n126_3","Как Вы распорядитесь средствами материнского капитала, когда пол"
"o1","Вы работали в последние 7 дней на предприятии, в организации, включ"
"o2a","Сколько времени в течение последних 7 дней Вы потратили на работу,"
"o2b","Сколько времени в течение последних 7 дней Вы потратили на работу,"
"o3a","Сколько времени в течение последних 7 дней Вы потратили на передви"
"o3b","Сколько времени в течение последних 7 дней Вы потратили на передви"
"o4","Вы работали в последние 7 дней на приусадебном, дачном, садовом зем"
"o5a","Сколько времени в течение последних 7 дней Вы потратили на работу"
"o5b","Сколько времени в течение последних 7 дней Вы потратили на работу"
"o14","В течение последних 7 дней Вы занимались поисками и покупкой проду"
"o15a","Сколько времени в течение последних 7 дней Вы потратили на поиски"
"o15b","Сколько времени в течение последних 7 дней Вы потратили на поиски"
"o16","Вы занимались в течение последних 7 дней приготовлением пищи и мыт"
"o17a","Сколько времени у Вас заняло это за последние 7 дней? (часов)"
"o17b","Сколько времени у Вас заняло приготовление пищи и мытье посуды за"
"o18","В течение последних 7 дней Вы занимались дома уборкой квартиры - по"
"o18a","В течение последних 7 дней Вы занимались дома уборкой, ремонтом, по"
"o19a","Сколько времени у Вас ушло на это в течение последних 7 дней? (часов"
"o19b","Сколько времени у Вас ушло на уборку квартиры в течение последних"
"o19aa","Сколько времени у Вас ушло на уборку, ремонт, починку мебели или бы"
"o19ab","Сколько времени у Вас ушло на уборку, ремонт, починку мебели или бы"
"o20","В течение последних 7 дней Вы занимались стиркой, глажением белья,"
"o20a","В течение последних 7 дней Вы занимались стиркой, глажением белья,"
"o21a","Сколько времени у Вас ушло на это в течение последних 7 дней? (часов"
"o21b","Сколько времени у Вас ушло на стирку, глажение белья, одежды в тече"
"o21aa","Сколько времени у Вас ушло на стирку, глажение белья, починку или ш"
"o21ab","Сколько времени у Вас ушло на стирку, глажение белья, починку или ш"
"o22","Вы участвовали в течение последних 7 дней в уходе за детьми 13 лет и"
"o23a","Сколько времени у Вас ушло за последние 7 дней на уход за детьми 13 л"
"o23b","Сколько времени у Вас ушло за последние 7 дней на уход за детьми 13 л"
"o24","В течение последних 7 дней Вы ухаживали за какими-либо (другими) де"
"o25a","Сколько времени в течение последних 7 дней Вы ухаживали за какими-"
"o25b","Сколько времени в течение последних 7 дней Вы ухаживали за какими-"
"o26","Скажите, пожалуйста, Вашему отцу уже больше 50 лет?"
"o27","Он нуждается в помощи, например, при одевании или при еде?"
"o28","В течение последних 7 дней Вы ухаживали за Вашим отцом? Делали то, ч"
"o29a","Сколько времени это заняло у Вас в течение последних 7 дней? (часов)"
"o29b","Сколько времени заняло у Вас в течение последних 7 дней то, что Вы у"
"o30","Скажите, пожалуйста, Вашей матери уже больше 50 лет?"
"o31","Она нуждается в помощи, например, при одевании или при еде?"
"o32","В последние 7 дней Вы ухаживали за Вашей матерью? Делали то, что она"
"o33a","Сколько всего времени это заняло у Вас в течение последних 7 дней? ("
"o33b","Сколько всего времени заняло у Вас в течение последних 7 дней то, ч"
"o34","Скажите, пожалуйста, есть у Вас (другие) родственники или знакомые"
"o35","Кто-нибудь из них нуждается в помощи, например, при одевании или пр"
"o36","Скажите, пожалуйста, в последние 7 дней Вы ухаживали за кем-нибудь"
"o37a","Сколько всего времени заняло у Вас в течение последних 7 дней то, ч"
"o37b","Сколько всего времени заняло у Вас в течение последних 7 дней то, ч"
"o38a","Сколько времени Вы затратили в течение последних 7 дней на сон? (ча"
"o38b","Сколько времени Вы затратили в течение последних 7 дней на сон? (ми"
"o39","Если через год мы снова захотим побеседовать с Вами о том, что изме"
"h11","Номер взрослого члена семьи, который отвечал на вопросы детского"
"k1","Вы закончили хотя бы один класс общеобразовательной школы?"
"k4","Ваша семья платила деньги за Ваше обучение в школе в текущей четве"
"k5","Сколько Ваша семья заплатила за Ваше обучение в текущей четверти?"
"k6","Ваша семья платила за учебники, по которым Вы учитесь в этом учебн"
"k7","Сколько рублей Ваша семья заплатила за учебники для Вас?"
"k7_1","Вы посещаете уроки физкультуры в школе?"
"k7_2","Как часто Вы занимаетесь физкультурой во время школьных занятий -"
"k7_3_1a","(Он/она) занимается во время школьных занятий карате, дзюдо, самбо,"
"k7_3_1b","Сколько часов и минут в неделю (он/она) занимается во время школьны"
"k7_3_1c","Сколько часов и минут в неделю (он/она) занимается во время школьны"
"k7_3_2a","(Он/она) занимается во время школьных занятий подвижными спортивн"
"k7_3_2b","Сколько часов и минут в неделю (он/она) занимается во время школьны"
"k7_3_2c","Сколько часов и минут в неделю (он/она) занимается во время школьны"
"k7_3_3a","Вы занимаетесь во время школьных занятий легкой атлетикой, лыжами"
"k7_3_3b","Сколько часов и минут в неделю (он/она) занимается во время школьны"
"k7_3_3c","Сколько часов и минут в неделю (он/она) занимается во время школьны"
"k7_3_4a","Вы занимаетесь во время школьных занятий другими видами физическ"
"k7_3_4b","Сколько часов и минут в неделю (он/она) занимается во время школьны"
"k7_3_4c","Сколько часов и минут в неделю (он/она) занимается во время школьны"
"k7_4","(Он/она) занимается физкультурой и спортом до или после уроков (зан"
"k7_5","Как часто Вы занимаетесь физкультурой и спортом до или после урок"
"k7_6_1a","(Он/она) занимается до или после уроков карате, дзюдо, самбо, борьбо"
"k7_6_1b","Сколько часов и минут в неделю (он/она) занимается до или после уро"
"k7_6_1c","Сколько часов и минут в неделю (он/она) занимается до или после уро"
"k7_6_2a","Вы занимаетесь до или после уроков подвижными спортивными играми:"
"k7_6_2b","Сколько часов и минут в неделю (он/она) занимается до или после уро"
"k7_6_2c","Сколько часов и минут в неделю (он/она) занимается до или после уро"
"k7_6_3a","Вы занимаетесь до или после уроков легкой атлетикой, лыжами, коньк"
"k7_6_3b","Сколько часов и минут в неделю (он/она) занимается до или после уро"
"k7_6_3c","Сколько часов и минут в неделю (он/она) занимается до или после уро"
"k7_6_4a","Вы занимаетесь до или после уроков другими видами физической акти"
"k7_6_4b","Сколько часов и минут в неделю (он/она) занимается до или после уро"
"k7_6_4c","Сколько часов и минут в неделю (он/она) занимается до или после уро"
"k761_1a","Занимается (он/она) до или после школьных уроков рисованием или му"
"k761_1b","Сколько часов и минут в неделю (он/она) занимается рисованием или м"
"k761_1c","Сколько часов и минут в неделю (он/она) занимается рисованием или м"
"k761_2a","Занимается (он/она) до или после школьных уроков танцами, фотограф"
"k761_2b","Сколько часов и минут в неделю (он/она) занимается танцами, фотогра"
"k761_2c","Сколько часов и минут в неделю (он/она) занимается танцами, фотогра"
"k761_3a","Занимается (он/она) до или после школьных уроков в кружках техниче"
"k761_3b","Сколько часов и минут в неделю (он/она) занимается в кружках технич"
"k761_3c","Сколько часов и минут в неделю (он/она) занимается в кружках технич"
"k761_4a","Занимается (он/она) до или после школьных уроков углубленным изуче"
"k761_4b","Сколько часов и минут в неделю (он/она) занимается углубленным изу"
"k761_4c","Сколько часов и минут в неделю (он/она) занимается углубленным изу"
"k761_5a","Занимается (он/она) до или после школьных уроков иностранным языко"
"k761_5b","Сколько часов и минут в неделю (он/она) занимается иностранным язы"
"k761_5c","Сколько часов и минут в неделю (он/она) занимается иностранным язы"
"k761_6a","Занимается (он/она) до или после школьных уроков какими-то еще пред"
"k761_6b","Сколько часов и минут в неделю (он/она) занимается какими-то еще пр"
"k761_6c","Сколько часов и минут в неделю (он/она) занимается какими-то еще пр"
"k7_7a1a","До или после уроков Вы смотрите телевизор?"
"k7_7a1b","Сколько часов и минут в неделю Вы смотрите телевизор, видео? (часов"
"k7_7a1c","Сколько часов и минут в неделю Вы смотрите телевизор, видео? (минут"
"k7_7a2a","До или после уроков Вы читаете, занимаетесь музыкой, рисуете, дела"
"k7_7a2b","Сколько часов и минут в неделю Вы читаете, занимаетесь музыкой, ри"
"k7_7a2c","Сколько часов и минут в неделю Вы читаете, занимаетесь музыкой, ри"
"k7_7a3a","До или после уроков Вы играете в видеоигры или в другие игры дома -"
"k7_7a3b","Сколько часов и минут в неделю Вы играете в видеоигры или в другие"
"k7_7a3c","Сколько часов и минут в неделю Вы играете в видеоигры или в другие"
"k7_7_1a","До или после уроков Вы смотрите телевизор, видео?"
"k7_7_1b","Сколько часов и минут в день (он/она) смотрит телевизор, видео, игра"
"k7_7_1c","Сколько часов и минут в день (он/она) смотрит телевизор, видео, игра"
"k7_7_2a","До или после уроков Вы читаете, занимаетесь музыкой, рисуете, дела"
"k7_7_2b","Сколько часов и минут в день Вы читаете, занимаетесь музыкой, рису"
"k7_7_2c","Сколько часов и минут в день Вы читаете, занимаетесь музыкой, рису"
"k7_7_8a","До или после школьных уроков (он/она) смотрит телевизор, видео?"
"k7_7_8b","Сколько часов и минут в день (он/она) смотрит телевизор, видео? (час"
"k7_7_8c","Сколько часов и минут в день (он/она) смотрит телевизор, видео? (мин"
"k7_7_9a","До или после школьных уроков (он/она) играет в видео- или компьютер"
"k7_7_9b","Сколько часов и минут в день (он/она) играет в видео- или компьютерн"
"k7_7_9c","Сколько часов и минут в день (он/она) играет в видео- или компьютерн"
"k7_7_7a","До или после школьных уроков (он/она) сидит в Интернете или локальн"
"k7_7_7b","Сколько часов и минут в день (он/она) сидит в Интернете или локальн"
"k7_7_7c","Сколько часов и минут в день (он/она) сидит в Интернете или локальн"
"k7_7_3a","До или после уроков Вы играете в видеоигры или в другие игры дома -"
"k7_7_3b","Сколько часов и минут в день (он/она) играет в игры - в машинки, кукл"
"k7_7_3c","Сколько часов и минут в день (он/она) играет в игры - в машинки, кукл"
"k7_7_6a","До или после школьных уроков (он/она) читает?"
"k7_7_6b","Сколько часов и минут в день (он/она) читает? (часов)"
"k7_7_6c","Сколько часов и минут в день (он/она) читает? (минут)"
"k7_7_4a","До или после школьных уроков (он/она) делает уроки?"
"k7_7_4b","Сколько часов и минут в день (он/она) делает уроки? (часов)"
"k7_7_4c","Сколько часов и минут в день (он/она) делает уроки? (минут)"
"k7_7_5a","До или после школьных уроков (он/она) читает, занимается музыкой, р"
"k7_7_5b","Сколько часов и минут в день (он/она) читает, занимается музыкой, ри"
"k7_7_5c","Сколько часов и минут в день (он/она) читает, занимается музыкой, ри"
"k771_1a","(Он/она) занимается под руководством или вместе с родителями, родс"
"k771_1b","Сколько часов и минут в неделю (он/она) занимается различными вида"
"k771_1c","Сколько часов и минут в неделю (он/она) занимается различными вида"
"k771_2a","(Он/она) занимается под руководством или вместе с родителями, родс"
"k771_2b","Сколько часов и минут в неделю (он/она) занимается творчеством и ре"
"k771_2c","Сколько часов и минут в неделю (он/она) занимается творчеством и ре"
"k771_3a","(Он/она) занимается под руководством или вместе с родителями, родс"
"k771_3b","Сколько часов и минут в неделю (он/она) занимается подготовкой уро"
"k771_3c","Сколько часов и минут в неделю (он/она) занимается подготовкой уро"
"k771_4a","(Он/она) занимается под руководством или вместе с родителями, взро"
"k771_4b","Сколько часов и минут в неделю (он/она) занимается какими-то предме"
"k771_4c","Сколько часов и минут в неделю (он/она) занимается какими-то предме"
"j360_4","У (него/неё) лично есть портативная развлекательная система PSP (пи-"
"k27","Ограничивают ли в семье время, в течение которого (он/она) пользует"
"k28","Ограничивают ли (его/её) в семье в пользовании определенными сайта"
"k7_8_1a","Вы добираетесь до школы на машине или общественным транспортом?"
"k7_8_1b","Сколько минут Вы добираетесь до школы и обратно на машине или обще"
"k7_82a","Вы добираетесь до школы пешком?"
"k7_82b","Сколько минут Вы добираетесь до школы и обратно пешком?"
"k7_8_3a","Вы добираетесь до школы на велосипеде?"
"k7_8_3b","Сколько минут Вы добираетесь до школы и обратно на велосипеде?"
"k7_8_1","Как Вы добираетесь до школы?"
"k7_8_2","Сколько минут занимает у Вас дорога до школы и обратно?"
"k7_8_2a","Сколько всего часов и минут занимает у (него/нее) дорога туда и обр"
"k7_8_2b","Сколько всего часов и минут занимает у (него/нее) дорога туда и обр"
"k8_1a","Почему (он/она) сейчас не учится в общеобразовательной школе? Пото"
"k8_1","Почему (он/она) сейчас не учится в общеобразовательной школе? Пото"
"k8_2","Почему (он/она) сейчас не учится в общеобразовательной школе? Пото"
"k8_3","Сейчас Вы не учитесь в общеобразовательной школе, потому что Вы от"
"k8_4","Сейчас Вы не учитесь в общеобразовательной школе, потому что семь"
"k8_5","Сейчас Вы не учитесь в общеобразовательной школе, потому что близ"
"k8_7","Почему (он/она) сейчас не учится в общеобразовательной школе? (Oн/он"
"k8_8","Почему (он/она) сейчас не учится в общеобразовательной школе? Ребе"
"k8_6","Сейчас Вы не учитесь в общеобразовательной школе по другим причин"
"k8_11_1","Сколько примерно часов в день Вы проводите, занимаясь физкультуро"
"k8_11_2","Сколько примерно часов в день Вы проводите, занимаясь физкультуро"
"k8_11_3","Сколько примерно часов в день Вы проводите, занимаясь физкультуро"
"k8_11_4","Сколько примерно часов в день Вы проводите, занимаясь физкультуро"
"k8_12_1","Вне дома Вы обычно занимаетесь карате, дзюдо, гимнастикой, теннисо"
"k8_12_2","Вне дома Вы обычно играете в мячик, катаетесь на коньках, на велоси"
"k8_12_3","Вне дома Вы обычно танцуете, бегаете, прыгаете, играете в классики,"
"k8_12_4","Вне дома Вы обычно играете сидя: на лавочке, в песочнице?"
"k8_10","(Он/она) сейчас посещает какое-нибудь детское дошкольное учрежден"
"k8_20","Кому принадлежит детское дошкольное учреждение, которое посещает"
"k29","Во время ограничений, введенных с связи с эпидемией коронавируса,"
"k29_1","Кто в этот период находился дома с ребенком?"
"k8_a_1a","Скажите мне, пожалуйста, (он/она) занимается карате, дзюдо, гимнаст"
"k8_a_1b","Скажите мне, пожалуйста, сколько часов и минут в неделю (он/она) зан"
"k8_a_1c","Скажите мне, пожалуйста, сколько часов и минут в неделю (он/она) зан"
"k8_a_2a","Скажите мне, пожалуйста, (он/она) играет в мячик, катается на конька"
"k8_a_2b","Скажите мне, пожалуйста, сколько часов и минут в неделю (он/она) игр"
"k8_a_2c","Скажите мне, пожалуйста, сколько часов и минут в неделю (он/она) игр"
"k8_a_3a","Вы танцуете, бегаете, прыгаете, играете в классики, в прятки?"
"k8_a_3b","Скажите мне, пожалуйста, сколько часов и минут в неделю (он/она) зан"
"k8_a_3c","Скажите мне, пожалуйста, сколько часов и минут в неделю (он/она) зан"
"k8_a_4a","Вы играете сидя: на лавочке, в песочнице?"
"k8_a_4b","Скажите мне, пожалуйста, сколько часов и минут в неделю (он/она) игр"
"k8_a_4c","Скажите мне, пожалуйста, сколько часов и минут в неделю (он/она) игр"
"k8_13","Вы занимаетесь регулярно физкультурой и спортом в детском дошкол"
"k81311a","(Он/она) занимается рисованием или музыкой?"
"k81311b","Сколько часов и минут в неделю (он/она) занимается рисованием или м"
"k81311c","Сколько часов и минут в неделю (он/она) занимается рисованием или м"
"k81312a","(Он/она) занимается театром, рукоделием, танцами или каким-то други"
"k81312b","Сколько часов и минут в неделю (он/она) занимается театром, рукодел"
"k81312c","Сколько часов и минут в неделю (он/она) занимается театром, рукодел"
"k81314a","(Он/она) занимается какими-то предметами, выбранными родителями ил"
"k81314b","Сколько часов и минут в неделю (он/она) занимается какими-то предме"
"k81314c","Сколько часов и минут в неделю (он/она) занимается какими-то предме"
"k81315a","(Он/она) занимается иностранным языком?"
"k81315b","Сколько часов и минут в неделю (он/она) занимается иностранным язы"
"k81315c","Сколько часов и минут в неделю (он/она) занимается иностранным язы"
"k8_14","Сколько часов в неделю Вы занимаетесь регулярно физкультурой и сп"
"k8_151a","Вы смотрите телевизор, видео?"
"k8_151b","Сколько часов и минут в день (он/она) смотрит телевизор, видео, игра"
"k8_151c","Сколько часов и минут в день (он/она) смотрит телевизор, видео, игра"
"k8_152a","Вы читаете или слушаете чтение, когда читают Вам?"
"k8_152b","Сколько часов и минут в день (он/она) читает или слушает чтение, ког"
"k8_152c","Сколько часов и минут в день (он/она) читает или слушает чтение, ког"
"k8_153a","Вы играете в видеоигры или в другие игры дома - в машинки, куклы, ко"
"k8_153b","Сколько часов и минут в день (он/она) играет в игры - в машинки, кукл"
"k8_153c","Сколько часов и минут в день (он/она) играет в игры - в машинки, кукл"
"k81511a","(Он/она) занимается под руководством или вместе с родителями, родс"
"k81511b","Сколько часов и минут в неделю (он/она) занимается различными вида"
"k81511c","Сколько часов и минут в неделю (он/она) занимается различными вида"
"k81512a","(Он/она) занимается под руководством или вместе с родителями, родс"
"k81512b","Сколько часов и минут в неделю (он/она) занимается творчеством? (ча"
"k81512c","Сколько часов и минут в неделю (он/она) занимается творчеством? (ми"
"k81513a","(Он/она) занимается под руководством или вместе с родителями, взро"
"k81513b","Сколько часов и минут в неделю (он/она) занимается по предметам, вы"
"k81513c","Сколько часов и минут в неделю (он/она) занимается по предметам, вы"
"k816_1a","В течение последних 12 месяцев Ваш ребенок посещал(а) театры, музеи,"
"k816_1b","Сколько раз за последние 12 месяцев Ваш ребенок посещал(а) культурн"
"k816_1c","Сколько раз за последние 12 месяцев Ваш ребенок посещал(а) культурн"
"k816_2a","В течение последних 12 месяцев Ваш ребенок был(а) на каких-либо экск"
"k816_2b","Сколько раз за последние 12 месяцев Ваш ребенок был(а) на каких-либо"
"k816_2c","Сколько раз за последние 12 месяцев Ваш ребенок был(а) на каких-либо"
"k8_17","Кто-нибудь из родителей проводил с Вашим ребенком отпуск в послед"
"k8_18","Ваш ребенок встречается со сверстниками (вне детского сада/ вне шк"
"k8_19_1","(Он/она) гуляет во дворе с друзьями?"
"k8_19_2","(Он/она) общается с друзьями у Вас дома или в гостях?"
"k8_19_3","(Он/она) общается в кружках, секциях, на курсах?"
