variable,q10_estimate,q10_std.error,q10_ci.low,q10_ci.upp,q10_p.value,q25_estimate,q25_std.error,q25_ci.low,q25_ci.upp,q25_p.value,q50_estimate,q50_std.error,q50_ci.low,q50_ci.upp,q50_p.value,q75_estimate,q75_std.error,q75_ci.low,q75_ci.upp,q75_p.value,q90_estimate,q90_std.error,q90_ci.low,q90_ci.upp,q90_p.value,model
"regionКрасноярский край, Назарово и Назаровский р",0.099,0.387,-0.679,0.877,0.799,0.019,0.405,-0.795,0.832,0.964,0.053,0.257,-0.463,0.568,0.838,0.216,0.3,-0.386,0.819,0.474,0.198,0.236,-0.276,0.673,0.405,Tertiary
regionРеспублика Кабардино-Балкария: Залукокоаже,0.122,0.282,-0.444,0.688,0.667,-0.305,0.186,-0.678,0.068,0.107,-0.362,0.208,-0.781,0.056,0.088,-0.324,0.287,-0.902,0.254,0.266,-0.309,0.251,-0.813,0.194,0.223,Tertiary
"regionАлтайский край, Бийск и Бийский район",0.228,0.339,-0.454,0.909,0.505,-0.377,0.399,-1.178,0.425,0.35,-0.166,0.352,-0.875,0.542,0.639,-0.103,0.433,-0.973,0.766,0.812,-0.237,0.269,-0.778,0.303,0.382,Tertiary
"regionКоми Республика, Усинск и Усинский район (1994",0.889,0.321,0.243,1.535,0.008,0.49,0.287,-0.087,1.066,0.094,0.486,0.209,0.067,0.906,0.024,0.503,0.303,-0.107,1.113,0.104,0.533,0.348,-0.166,1.232,0.132,Tertiary
regionВладивосток,0.647,0.518,-0.395,1.689,0.218,0.207,0.545,-0.889,1.303,0.706,0.188,0.5,-0.816,1.192,0.708,0.236,0.595,-0.96,1.432,0.693,0.171,0.611,-1.057,1.398,0.781,Tertiary
"regionАмурская область, Тамбовский район",-0.033,0.31,-0.655,0.589,0.915,-0.408,0.372,-1.156,0.34,0.278,-0.169,0.251,-0.672,0.335,0.504,-0.078,0.23,-0.54,0.383,0.735,-0.106,0.245,-0.598,0.385,0.666,Tertiary
"regionСаратовская область, Вольск и Вольский райо",-0.699,0.693,-2.092,0.693,0.318,-0.679,0.806,-2.299,0.941,0.404,-0.388,0.523,-1.438,0.662,0.461,-0.039,0.432,-0.907,0.829,0.928,-0.083,0.281,-0.648,0.483,0.77,Tertiary
"regionКоми Республика, Сыктывкар",0.59,0.57,-0.555,1.734,0.306,0.306,0.544,-0.788,1.4,0.576,0.179,0.514,-0.854,1.212,0.729,0.188,0.603,-1.023,1.4,0.756,0.293,0.614,-0.941,1.526,0.636,Tertiary
regionЧелябинск,-0.126,0.74,-1.613,1.36,0.865,-0.347,0.552,-1.456,0.763,0.533,-0.19,0.617,-1.429,1.05,0.76,-0.049,0.62,-1.294,1.196,0.937,-0.176,0.625,-1.431,1.08,0.78,Tertiary
"regionЧелябинская область, Красноармейский район",-3.421,2.027,-7.494,0.653,0.098,-0.081,2.123,-4.347,4.185,0.97,-0.01,0.266,-0.544,0.524,0.969,-0.063,0.237,-0.539,0.413,0.792,-0.052,0.282,-0.618,0.515,0.856,Tertiary
regionНижний Новгород,0.185,0.524,-0.868,1.237,0.726,0.056,0.524,-0.997,1.109,0.916,-0.101,0.503,-1.111,0.91,0.842,0.028,0.576,-1.13,1.185,0.962,-0.071,0.624,-1.325,1.182,0.909,Tertiary
"regionПензенская область, Земетчинский район",0.203,0.374,-0.548,0.954,0.589,-0.121,0.217,-0.556,0.315,0.58,-0.212,0.215,-0.643,0.219,0.329,-0.228,0.241,-0.713,0.257,0.349,-0.421,0.241,-0.904,0.063,0.087,Tertiary
"regionКраснодарский край, Кущевский район",0.219,0.365,-0.515,0.954,0.551,-0.13,0.208,-0.548,0.288,0.535,-0.26,0.196,-0.655,0.135,0.192,-0.025,0.231,-0.49,0.44,0.914,-0.117,0.173,-0.464,0.231,0.502,Tertiary
regionСмоленск,-0.245,0.611,-1.473,0.984,0.691,-0.503,0.577,-1.662,0.657,0.388,-0.429,0.612,-1.659,0.801,0.486,-0.163,0.612,-1.392,1.067,0.792,-0.276,0.605,-1.493,0.94,0.65,Tertiary
regionТула,0.389,0.502,-0.621,1.398,0.443,0.032,0.527,-1.027,1.091,0.952,-0.11,0.497,-1.109,0.889,0.826,-0.084,0.574,-1.237,1.068,0.884,0.03,0.632,-1.239,1.299,0.962,Tertiary
"regionРостовская область, Батайск",-0.036,0.83,-1.704,1.633,0.966,-0.146,0.31,-0.769,0.476,0.639,-0.181,0.235,-0.655,0.292,0.445,-0.087,0.25,-0.59,0.415,0.728,-0.271,0.185,-0.644,0.101,0.149,Tertiary
regionМосква,0.585,0.51,-0.441,1.61,0.258,0.316,0.542,-0.773,1.405,0.562,0.37,0.492,-0.619,1.359,0.456,0.563,0.601,-0.646,1.772,0.354,0.542,0.608,-0.679,1.763,0.377,Tertiary
regionСанкт-Петербург,-3.945,1.854,-7.671,-0.219,0.038,-0.418,2.192,-4.822,3.987,0.85,-0.183,0.599,-1.387,1.021,0.762,0.033,0.716,-1.405,1.472,0.963,0.085,0.58,-1.08,1.25,0.884,Tertiary
regionМосковская область,0.439,0.216,0.005,0.874,0.048,0.224,0.207,-0.191,0.639,0.283,0.223,0.162,-0.102,0.548,0.174,0.45,0.208,0.033,0.867,0.035,0.473,0.149,0.173,0.773,0.003,Tertiary
